整租 | 胜辛南路800号办公楼 1室1厅1卫 1598元月,胜辛南路800号办公楼,1598,https://sh.58.com/zufang/44711228597656x.shtml
整租 | 十一号线南翔站 新开业 高品质 整租 交通便利 配套,金地格林世界格林公馆(商...,2888,https://sh.58.com/zufang/44384519772194x.shtml
整租 | （真实） 外冈景苑 3室1厅1卫 2300元月 82,外冈景苑,2300,https://sh.58.com/zufang/44324441059622x.shtml
整租 | 桂圆别墅(650弄) 2室0厅1卫,桂圆别墅(650弄),1800,https://sh.58.com/zufang/44737223723678x.shtml
整租 | 水仙小区，精装全配，整租一室一厅，押一付一，房子漂亮,水仙小区,1800,https://sh.58.com/zufang/44742670485785x.shtml
整租 | 江桥镇真实图片价格丨押一付一丨拎包入住丨loft复试,绿地新江桥城(南区),1699,https://sh.58.com/zufang/44413356022308x.shtml
整租 | 近地铁站 兰棠佳苑 精装修大两房 可办居住证 南北通,兰棠佳苑,2400,https://sh.58.com/zufang/44733570123144x.shtml
单间 | 澜茵华庭(东区) 3室1厅1卫 其他 朝东,澜茵华庭(东区),1900,https://sh.58.com/hezu/44720648912016x.shtml
整租 | 大众春盛苑 精装2房 家具家电齐全 靠近黄渡菜市 交,大众春盛苑(公寓住宅),2600,https://sh.58.com/zufang/44446791481384x.shtml
整租 | 13号线金运路，正规1室1厅，朝南阳光好，付一押一，,泰宸复兴苑,2700,https://sh.58.com/zufang/44732817774601x.shtml
整租 | 心灵纯洁之人，生活充满甜蜜和喜悦！来这里就对了，家居,富友嘉园(南区),1650,https://sh.58.com/zufang/44115051994128x.shtml
整租 | 娄东村 5室2厅2卫,娄东村,3300,https://sh.58.com/zufang/44737036700561x.shtml
单间 | 带卫生间煤气做饭，曹安路封浜农业银行后面,杨柳社区,1200,https://sh.58.com/hezu/34651199674796x.shtml
整租 | 13号线 地铁直达长寿路 品牌公寓直租 家具齐全拎包,高潮新苑,2610,https://sh.58.com/zufang/44524545450402x.shtml
整租 | 嘉定宝龙广场 对面 精装 两房 两卫 新出 看房随时,光明D9空间,3300,https://sh.58.com/zufang/44314825150109x.shtml
单间 | 汇丰颐苑 3室1厅2卫 次卧 南,汇丰颐苑,900,https://sh.58.com/hezu/44737007231111x.shtml
整租 | 11号线 嘉定西附近 一室一厅整租 押一付一 随时看,练祁佳城永泰嘉苑(608...,2000,https://sh.58.com/zufang/44668938143399x.shtml
单间 | 单间|超值好房 开机地铁口 生活方便 看中可谈,绿地新江桥城(东区),2300,https://sh.58.com/hezu/43882112366741x.shtml
整租 | 安亭名邸 2室2厅1卫,安亭名邸,3800,https://sh.58.com/zufang/41482930461841x.shtml
整租 | 月付 近地铁 不收中介非 拎包入住带独立卫浴,中童巴比尼,1299,https://sh.58.com/zufang/44712815323522x.shtml
单间 | 年底巨惠，南带飘窗1050，相当靠谱，押一付一可短租,日月光伯爵天地鼎固君庭,1050,https://sh.58.com/hezu/44665170963340x.shtml
整租 | 新城金郡M11金座精装1房出租 紧邻白银路地铁站10,新城金郡M11金座,2600,https://sh.58.com/zufang/44745932455054x.shtml
单间 | 嘉秀新苑 3室2厅2卫 主卧 南,嘉秀新苑,1800,https://sh.58.com/hezu/44699613743501x.shtml
整租 | 房东诚意出租，精装两房，拎包入住，随时看房，宝龙广场,光明D9空间,2600,https://sh.58.com/zufang/44632188652963x.shtml
整租 | 江桥品质小区  华江景城带装修 随时看房 拎包入住,华江景城,3200,https://sh.58.com/zufang/44658863051802x.shtml
整租 | 直达徐家汇，整租一室户，可押一付一，精装修拎包入住,胜辛南路800号办公楼,1650,https://sh.58.com/zufang/44742618534299x.shtml
单间 | 合景峰汇 2室1厅1卫 主卧 南,合景峰汇,1200,https://sh.58.com/hezu/44668412309788x.shtml
单间 | 大宅风范城近地铁近万达广场，全装全配房源,大宅风范城,1900,https://sh.58.com/hezu/44013661263394x.shtml
整租 | 安高东方御府 精装修小三房 南北通透 近马陆地铁站,安高东方名邸,5000,https://sh.58.com/zufang/44714667418007x.shtml
整租 | 嘉定城区 上海大学旁 嘉丰嘉苑 三房出租 民用水电押,嘉丰佳苑,2800,https://sh.58.com/zufang/44549960954647x.shtml
单间 | 金鹤新城双佳翠庭 3室1厅1卫 次卧 北,金鹤新城双佳翠庭,1350,https://sh.58.com/hezu/44399777225890x.shtml
整租 | 年底特价 我是房东，精装修独立厨卫 家具家电全配 随,大学里,1344,https://sh.58.com/zufang/44698731847048x.shtml
整租 | 11号地铁整租安高东方御府 3室2厅 南北,安高东方名邸,5200,https://sh.58.com/zufang/44678321239562x.shtml
整租 | 万科物业 整租一室一厅，家电齐全，房东急租，高层电梯,金桂新村,1300,https://sh.58.com/zufang/44554763689353x.shtml
整租 | 绿地秋霞坊(公寓住宅) 1室1厅1卫,绿地秋霞坊(公寓住宅),4200,https://sh.58.com/zufang/44729871632031x.shtml
整租 | 草莓社区，精装整租一室户，独立厨卫，可养宠物，实体墙,胜辛南路800号办公楼,1500,https://sh.58.com/zufang/44721902481819x.shtml
整租 | 好房不等人 大阳台 配置齐全 拎包入住 光线充足一房,红梅小区(嘉定),1600,https://sh.58.com/zufang/43750608324609x.shtml
单间 | 嘉定西地铁站丨上海嘉定客运中心宝菊新家园丨单间出租押,宝菊新家园,1000,https://sh.58.com/hezu/44700191476620x.shtml
整租 | 嘉定金华新村 2室0厅1卫,嘉定金华新村,3050,https://sh.58.com/zufang/44728069019010x.shtml
单间 | 盛世景庭押一付一，精装单间，780元月，电梯房，干净,路劲上海派Ⅱ盛世景庭,780,https://sh.58.com/hezu/44655153925645x.shtml
整租 | 未来城V领地，特价房！就这一套，全配，拎包入住，看上,MAX未来,2900,https://sh.58.com/zufang/44233686812708x.shtml
整租 | 江桥万达附近安歆公寓专业企业员工宿舍拎包入住入户打扫,大宅风范城,600,https://sh.58.com/zufang/44156700061318x.shtml
单间 | 金鹤新城中房公寓 3室1厅1卫 次卧 南,金鹤新城中房公寓,1420,https://sh.58.com/hezu/44727014211333x.shtml
整租 | 黄渡上城名都简装2房 南北通透 采光通风都好 实图可,上城名都(公寓住宅),3200,https://sh.58.com/zufang/43926226847010x.shtml
整租 | 江桥万达精装修独栋别墅可以签三年可居家办公做仓库,皇府别墅,8800,https://sh.58.com/zufang/37801269276320x.shtml
整租 | 整租上海汽车城11号线地铁边精装独立一室家电齐全交通,安亭瑞仕华庭(别墅),1560,https://sh.58.com/zufang/44602047849766x.shtml
单间 | 金鹤新城中虹华苑 3室1厅1卫 主卧 南,金鹤新城中虹华苑,2000,https://sh.58.com/hezu/44726796849301x.shtml
整租 | 金运路地铁500米，3房两厅，精装全配，看房随时，拎,澜茵华庭(西区),5350,https://sh.58.com/zufang/44687215741456x.shtml
单间 | 体会温馨 品味幸福 诚意租房 万事俱备，只待你的到来,日月光伯爵天地城市华庭,1400,https://sh.58.com/hezu/44558294910738x.shtml
整租 | 签一年送一个月！押一付一！近11号线南翔地铁站！精装,银翔新村,2658,https://sh.58.com/zufang/44736176748165x.shtml
单间 | 金鹤新城中虹华苑 1室1厅1卫 主卧 北,金鹤新城中虹华苑,2350,https://sh.58.com/hezu/44726777554324x.shtml
整租 | 曹安公路19号桥精独立卫生间可做饭,黄渡镇联西村,800,https://sh.58.com/zufang/44515012410241x.shtml
整租 | 安亭民丰路大众厂延蜂厂附近 管家直租无中介 一个月起,沁乐佳苑,788,https://sh.58.com/zufang/44698556290337x.shtml
单间 | 中童巴比尼 3室0厅1卫 次卧 南,中童巴比尼,1000,https://sh.58.com/hezu/44664680852615x.shtml
整租 | 近地铁芙蓉新村精装修采光通透2室1厅房东诚心出租随时,芙蓉新村,2400,https://sh.58.com/zufang/43939496463242x.shtml
整租 | 非中介近11号地铁桃浦站，爱ME海伦堡一室一厅，精装,海伦堡爱ME城市,3300,https://sh.58.com/zufang/44644155108119x.shtml
整租 | 距地铁米品质小区，带飘窗，环境优美，拎包入住，简约风,绿地新江桥城(西区),5000,https://sh.58.com/zufang/44501057011484x.shtml
整租 | 花圃小镇(上海包装城) 1室0厅1卫,花圃小镇(上海包装城),1700,https://sh.58.com/zufang/44722278947352x.shtml
单间 | 泰宸沙河茗苑 阳台房 蛋壳解约与房东直签合同 押一付,泰宸沙河茗苑,2300,https://sh.58.com/hezu/44666832869004x.shtml
整租 | 胜辛南路800号办公楼 1室1厅1卫 1598元月,胜辛南路800号办公楼,1598,https://sh.58.com/zufang/44711238195585x.shtml
整租 | 主卧朝南，电梯房，小区中心位置，拎包入住，中式风格,中信泰富又一城锦苑,4200,https://sh.58.com/zufang/44709761710734x.shtml
单间 | 紫荆四村 3室1厅2卫 主卧 南,紫荆四村,1500,https://sh.58.com/hezu/44722238060700x.shtml
单间 | 大飘窗次卧，可短租，押一付一，近地铁，包物业宽带，民,日月光伯爵天地鼎固君庭,1000,https://sh.58.com/hezu/44654129266704x.shtml
整租 | 整租|陈翔路地铁站实图实价原房东首 次出租可拎包入住,湖畔天下(公寓住宅),8800,https://sh.58.com/zufang/44632255521807x.shtml
整租 | 新城金郡M11 SOHO 复式2层 白银路地铁站旁,新城金郡M11金座,3000,https://sh.58.com/zufang/44270630235399x.shtml
单间 | 高潮新苑 2室1厅1卫 主卧 南,高潮新苑,1000,https://sh.58.com/hezu/44722213290881x.shtml
整租 | 万达城市公寓，整租一室户，近地铁，手机实拍视频，不做,万达城市公寓,2600,https://sh.58.com/zufang/44732824178582x.shtml
整租 | 合景峰汇精装两房 房东自住装修 采光好 宜居家 价格,合景峰汇,2800,https://sh.58.com/zufang/44226382391961x.shtml
整租 | 新上德华大三房！自住装修！带固定车位！近印象城地铁站,德华四村,4500,https://sh.58.com/zufang/44676114440983x.shtml
整租 | 马陆汽配城 1室1厅1卫,马陆汽配城,1700,https://sh.58.com/zufang/44722205439513x.shtml
整租 | 近地铁口 新出房源本人实拍  随时看 采光好房型正气,绿地新江桥城(东区),4000,https://sh.58.com/zufang/43949963446294x.shtml
整租 | 玲珑公馆 精装一房 朝南 近白银路地铁站 价格可谈,龙湖蔚澜香醍(北区公寓住...,2600,https://sh.58.com/zufang/44714009156106x.shtml
整租 | 安亭小学旁 本人真实拍照 真的特别好 边户采光绝了,博泰新苑,2500,https://sh.58.com/zufang/44577370576027x.shtml
单间 | 爱德佳苑三街坊(公寓住宅) 2室1厅1卫 其他 南,爱德佳苑三街坊(公寓住宅...,1600,https://sh.58.com/hezu/44722115457025x.shtml
整租 | 嘉宝紫提湾，近大融城，马陆唐街，独立厨卫，押一付一，,嘉宝紫提湾(别墅),1060,https://sh.58.com/zufang/44301143108881x.shtml
单间 | 近安亭地铁站 近商业广场购物中心 可月付 房东直签,紫荆一村,900,https://sh.58.com/hezu/44743172814211x.shtml
整租 | 金运路地铁700米，正规大两房出租，图片实地拍摄，拎,爱德佳苑五街坊,4450,https://sh.58.com/zufang/44698497441813x.shtml
整租 | 永翔佳苑(东区) 1室 1厅1卫,永翔佳苑(东区),1480,https://sh.58.com/zufang/44722081657857x.shtml
整租 | 14号线 金帝品质小区  豪装配置 随时入住 3天必,金帝城市岸泊(公寓住宅),6200,https://sh.58.com/zufang/44035701399572x.shtml
整租 | 合景峰汇 两房两厅两卫 房东急租 送一年网络 看房随,合景峰汇,2800,https://sh.58.com/zufang/44445128201751x.shtml
单间 | 地铁口小区，电梯中层，采光足，家具齐全，随时看房，拎,日月光伯爵天地鼎固君庭,1010,https://sh.58.com/hezu/44480123055004x.shtml
整租 | 外冈佳苑(东区) 2室2厅1卫,外冈佳苑(东区),2500,https://sh.58.com/zufang/44721536523405x.shtml
整租 | 润渡佳苑新出  精装2房  拎包入住  楼层佳采光好,润渡佳苑(西区),2700,https://sh.58.com/zufang/44677766606862x.shtml
整租 | 豪华装修两房 带书房 房东自住标准非常漂亮 温馨干净,安亭名邸,2500,https://sh.58.com/zufang/43815924590345x.shtml
单间 | 嘉定城区 南苑北十村，主卧950！房源真实，欢迎看房,南苑北十村,900,https://sh.58.com/hezu/44433382422537x.shtml
单间 | 疁南小区 2室1厅1卫 主卧 南,疁南小区,1200,https://sh.58.com/hezu/44671516484136x.shtml
单间 | 精装大南卧 双人床 可短租 可办居住证 随时看 地铁,日月光伯爵天地城市华庭,1130,https://sh.58.com/hezu/44527280189080x.shtml
单间 | 用心服务 可短租3个月 无仲阶费 真实押一付一 民用,日月光伯爵天地城市华庭,990,https://sh.58.com/hezu/44687181055385x.shtml
整租 | 尚都国际 1室 1厅1卫,尚都国际,2200,https://sh.58.com/zufang/44680036301351x.shtml
整租 | 曹安公路精装修独立卫生间可做饭公寓,东华环球建材市场,800,https://sh.58.com/zufang/44093923401254x.shtml
整租 | 拧包入住，业主诚心出租 近大融城 环境OK 住的人多,保利湖畔阳光苑(西区),4100,https://sh.58.com/zufang/44637329612185x.shtml
整租 | 整租一居室，民用水电，金运路地铁口，手机实拍，近万达,大宅风范城,2600,https://sh.58.com/zufang/44732778078491x.shtml
单间 | 金桂新村 3室1厅1卫 次卧 北,金桂新村,900,https://sh.58.com/hezu/44736954466325x.shtml
整租 | 嘉宝梦之缘，高品质小区，随时可看，拎包入住！,嘉宝梦之缘景庭(西区),3800,https://sh.58.com/zufang/44247459754767x.shtml
整租 | 绿地嘉尚国际广场精装1室1厨1卫面积59.28,绿地嘉尚国际广场,2000,https://sh.58.com/zufang/44313495858344x.shtml
整租 | 光明D9空间 美丽湖景房 小区环境优雅 靠近宝龙 购,光明D9空间,2900,https://sh.58.com/zufang/42520298139545x.shtml
单间 | 嘉海雅苑(西区) 2室2厅1卫 次卧 南,嘉海雅苑(西区),1100,https://sh.58.com/hezu/44736547792396x.shtml
整租 | 近安亭地铁站温馨一居室，装修奈斯，适合情侣和单身住可,世昶生活广场,1300,https://sh.58.com/zufang/44543599437968x.shtml
整租 | 嘉城桃花岛香槟河畔(别墅) 2室1厅1卫 4000元,嘉城桃花岛香槟河畔(别墅...,4000,https://sh.58.com/zufang/43924693617668x.shtml
整租 | 地铁直达徐家汇 商圈好 购物方便 无中介费 看中入住,嘉峰汇财富广场,2560,https://sh.58.com/zufang/44524170720163x.shtml
单间 | 中星海兰苑 3室1厅1卫 次卧 南,中星海兰苑,980,https://sh.58.com/hezu/44731902335502x.shtml
整租 | 不收任何费用，封浜，黄渡性价比高的房源，可做饭,东华环球建材市场,800,https://sh.58.com/zufang/44742329296915x.shtml
整租 | 十一号线南翔站 新开业 高品质 整租 交通便利 配套,金地格林世界格林公馆(商...,2888,https://sh.58.com/zufang/44384519772194x.shtml
整租 | （真实） 外冈景苑 3室1厅1卫 2300元月 82,外冈景苑,2300,https://sh.58.com/zufang/44324441059622x.shtml
单间 | 中星海兰苑 3室1厅1卫 次卧 南,中星海兰苑,980,https://sh.58.com/hezu/44687648959628x.shtml
整租 | 水仙小区，精装全配，整租一室一厅，押一付一，房子漂亮,水仙小区,1800,https://sh.58.com/zufang/44742670485785x.shtml
整租 | 江桥镇真实图片价格丨押一付一丨拎包入住丨loft复试,绿地新江桥城(南区),1699,https://sh.58.com/zufang/44413356022308x.shtml
整租 | 近地铁站 兰棠佳苑 精装修大两房 可办居住证 南北通,兰棠佳苑,2400,https://sh.58.com/zufang/44733570123144x.shtml
单间 | 金沙鼎苑 3室1厅1卫 主卧 南,金沙鼎苑,1950,https://sh.58.com/hezu/44710065013001x.shtml
整租 | 大众春盛苑 精装2房 家具家电齐全 靠近黄渡菜市 交,大众春盛苑(公寓住宅),2600,https://sh.58.com/zufang/44446791481384x.shtml
整租 | 13号线金运路，正规1室1厅，朝南阳光好，付一押一，,泰宸复兴苑,2700,https://sh.58.com/zufang/44732817774601x.shtml
整租 | 心灵纯洁之人，生活充满甜蜜和喜悦！来这里就对了，家居,富友嘉园(南区),1650,https://sh.58.com/zufang/44115051994128x.shtml
单间 | 中星海兰苑 3室1厅1卫 其他 南,中星海兰苑,980,https://sh.58.com/hezu/44678672337296x.shtml
单间 | 带卫生间煤气做饭，曹安路封浜农业银行后面,杨柳社区,1200,https://sh.58.com/hezu/34651199674796x.shtml
整租 | 13号线 地铁直达长寿路 品牌公寓直租 家具齐全拎包,高潮新苑,2610,https://sh.58.com/zufang/44524545450402x.shtml
整租 | 嘉定宝龙广场 对面 精装 两房 两卫 新出 看房随时,光明D9空间,3300,https://sh.58.com/zufang/44314825150109x.shtml
单间 | 嘉怡坊 3室1厅1卫 主卧 南,嘉怡坊,1380,https://sh.58.com/hezu/44731996494471x.shtml
整租 | 11号线 嘉定西附近 一室一厅整租 押一付一 随时看,练祁佳城永泰嘉苑(608...,2000,https://sh.58.com/zufang/44668938143399x.shtml
单间 | 单间|超值好房 开机地铁口 生活方便 看中可谈,绿地新江桥城(东区),2300,https://sh.58.com/hezu/43882112366741x.shtml
单间 | 丰庄路 丰庄一村 精装主卧带阳台带独卫  能做饭 拎,丰庄一村,2500,https://sh.58.com/hezu/44688953588104x.shtml
单间 | 金沙鼎苑 1室0厅1卫 主卧 南,金沙鼎苑,1950,https://sh.58.com/hezu/44731853143831x.shtml
整租 | 南翔精装大一房 精装一房 急售 手慢无 可拎包入住,翔瑞新苑(东区),3150,https://sh.58.com/zufang/43572938336294x.shtml
整租 | 龙湖天璞 简装全配 看房方便 中间楼层 环境优美,龙湖天璞,5600,https://sh.58.com/zufang/44237562915467x.shtml
单间 | 嘉邦小区 2室1厅1卫 主卧 南,嘉邦小区,1480,https://sh.58.com/hezu/44736386153243x.shtml
"整租 | 急租,近地铁站,适合上班族精装全配,长租更优惠.",中冶祥腾菁英尚都,3700,https://sh.58.com/zufang/44687147531022x.shtml
整租 | 实拍，中下塘街，精装一房低楼层，近罗宾森，疁南小学，,中下塘街小区,2100,https://sh.58.com/zufang/44698491335844x.shtml
整租 | 嘉城新航域精装2房.手机实拍.捡漏好房.价格美丽，手,嘉城新航域,3999,https://sh.58.com/zufang/44579457160705x.shtml
单间 | 兰郡花田洋房 2室1厅1卫 次卧 西南,兰郡花田洋房,750,https://sh.58.com/hezu/44601385294485x.shtml
单间 | 总有一间适合您的需求，短租房 近地铁 随时看房,白银时代尚苑(三期),1000,https://sh.58.com/hezu/44524381383330x.shtml
整租 | 申江花园，是居家型小区,申江花苑,2500,https://sh.58.com/zufang/43816486807718x.shtml
整租 | 品牌公寓！非中介！独立厨卫！月付！可短租！随时看房！,胜辛南路800号办公楼,1500,https://sh.58.com/zufang/44721981104292x.shtml
单间 | 泰翔嘉苑 4室1厅2卫 主卧 南,泰翔嘉苑,2000,https://sh.58.com/hezu/44732841035266x.shtml
整租 | 急急急租 江桥一村1室1厅 精装整租 押一付一 可随,江桥一村,3000,https://sh.58.com/zufang/44712627485463x.shtml
单间 | 女生优先，价格900，水电民用燃气做饭，朝南采光好，,金桂新村,900,https://sh.58.com/hezu/44743092505228x.shtml
单间 | 三室合租，阳光飘窗南次，纯女生，押一付一，近地铁工业,日月光伯爵天地鼎固君庭,1400,https://sh.58.com/hezu/44631877729673x.shtml
整租 | 海伦堡海伦广场 2室1厅1卫,海伦堡海伦广场,3200,https://sh.58.com/zufang/44665238153866x.shtml
整租 | 安亭地铁口 精装全配 品牌环保家具 四通八达 付一押,安亭名邸,2480,https://sh.58.com/zufang/43165844028827x.shtml
单间 | 后一间 南翔 德华四村 干净卫生 双周保洁 燃气热水,德华四村,1120,https://sh.58.com/hezu/44493466555280x.shtml
整租 | 近地铁 交通便利 出现方便 能办居住证 停车方便 随,真新新村嘉秀坊,3200,https://sh.58.com/zufang/44657634906270x.shtml
单间 | 绿地新江桥城(南区) 4室1厅1卫 次卧 西,绿地新江桥城(南区),1600,https://sh.58.com/hezu/44699882886148x.shtml
整租 | 房东初次出租沁富佳苑精装小复式随时看房,沁富佳苑,1400,https://sh.58.com/zufang/44446310279200x.shtml
整租 | 地铁13号线金运路，精装复式公寓，手机实拍照片视频，,万达城市公寓,2500,https://sh.58.com/zufang/44732685904516x.shtml
整租 | 11号线安亭地铁口精装修，温馨一房，押一付一，房东很,安亭雅苑,1280,https://sh.58.com/zufang/43172470794625x.shtml
单间 | 泰翔嘉苑 4室1厅2卫 主卧 南,泰翔嘉苑,1800,https://sh.58.com/hezu/44732807575076x.shtml
整租 | 胜辛南路800号办公楼 1室1厅1卫 1608元月,胜辛南路800号办公楼,1608,https://sh.58.com/zufang/44711094926753x.shtml
整租 | 海伦堡爱ME城市，精装朝南，双层结构，厅卧分离，随时,海伦堡爱ME城市,3800,https://sh.58.com/zufang/44171346037772x.shtml
整租 | 公寓直租 日式榻榻米户型 精装独栋公寓 长租85折,中冶祥腾菁英尚都,2399,https://sh.58.com/zufang/44524081037461x.shtml
单间 | 金沙缘圆宝邸 1室0厅1卫 次卧 东北,金沙缘圆宝邸,1500,https://sh.58.com/hezu/44614968528402x.shtml
整租 | 金丰新村，精装一居室，13号线地铁口丰庄站，配套齐全,金丰新村,3650,https://sh.58.com/zufang/44444863734550x.shtml
单间 | 中央公园精装单间，押一付一，3室1厅1卫，干净整洁，,安亭中央公园(公寓住宅),950,https://sh.58.com/hezu/44456936644619x.shtml
整租 | 海伦堡爱ME城市，精装1房，朝南，房间温暖，全配，拎,海伦堡爱ME城市,3000,https://sh.58.com/zufang/44171432113157x.shtml
单间 | 泰宸沙河茗苑 3室1厅1卫 主卧 南,泰宸沙河茗苑,1700,https://sh.58.com/hezu/44687716505119x.shtml
整租 | 月付 押一付一 拎包入住 随时看房,漳翔路1086弄2号楼,938,https://sh.58.com/zufang/44723544545568x.shtml
整租 | 海伦堡海伦广场 2室1厅1卫,海伦堡海伦广场,3300,https://sh.58.com/zufang/44359753901718x.shtml
整租 | 一梯两户 中间楼层 采光充足 停车方便 全明户型 拎,真建七街坊,4000,https://sh.58.com/zufang/44745819006244x.shtml
整租 | 大宅风范城 2室1厅1卫,大宅风范城,4200,https://sh.58.com/zufang/44711485658379x.shtml
整租 | 照片实地拍摄 看房随时拎包入住 独厨独卫一室户 房租,澜茵华庭(东区),2300,https://sh.58.com/zufang/44742805854985x.shtml
整租 | 枫树林南区，独厨独卫，精装一室，押一付一，停车方便，,枫树林景苑(南区),1260,https://sh.58.com/zufang/44301138804648x.shtml
单间 | 浏翔花苑 2室0厅1卫 次卧 西北,浏翔花苑,1000,https://sh.58.com/hezu/44713160253078x.shtml
整租 | 龙湖郦城 精装一房 近嘉定新城地铁站 看房方便 拎包,龙湖郦城(商住楼),2550,https://sh.58.com/zufang/44200945261836x.shtml
整租 | 地铁口精装一房 可押一付一 楼层好 采光足 价格好谈,真新新村嘉和坊,4000,https://sh.58.com/zufang/44712728730384x.shtml
单间 | 持蛋壳租赁合同可打折   地铁700米  押一付一,日月光伯爵天地鼎固君庭,990,https://sh.58.com/hezu/44687202693001x.shtml
单间 | 外冈壹号(公寓住宅) 3室2厅2卫 主卧 南,外冈壹号(公寓住宅),550,https://sh.58.com/hezu/44437458285570x.shtml
整租 | 合景峰汇 2室1厅1卫 2800元月 中式装修  4,合景峰汇,2800,https://sh.58.com/zufang/44478288539292x.shtml
整租 | 喧闹的中心 一处安静屋 押一付一 精装全配 价格白菜,嘉定宝龙城市广场,1800,https://sh.58.com/zufang/44202436352678x.shtml
单间 | 无！中！介！费 单间带独卫，带阳台，首，次出租,深城投十一街区(西区),1176,https://sh.58.com/hezu/43073476124035x.shtml
单间 | 外冈景苑 2室1厅1卫 其他 南,外冈景苑,500,https://sh.58.com/hezu/44676549773185x.shtml
整租 | 金运路地铁口，手机实拍，近华泰，万达，驴妈妈，蒂莎，,泰宸沙河茗苑,5800,https://sh.58.com/zufang/44737861315470x.shtml
整租 | 封浜性价比高的公寓房，可做饭,东华环球建材市场,800,https://sh.58.com/zufang/44742328777873x.shtml
整租 | （火）新出速抢，威隆大厦，三日必租，随时看房，精装全,威隆大厦,3600,https://sh.58.com/zufang/44731756012839x.shtml
单间 | 上海院子(别墅) 3室3厅3卫 其他 南,上海院子(别墅),500,https://sh.58.com/hezu/44568407225620x.shtml
整租 | 绿地新丰苑 1室1厅1卫 1800元月 电梯房 精装,绿地新丰苑,1800,https://sh.58.com/zufang/44512370812941x.shtml
整租 | 11号线地铁口 精装一室户 拎包入住 随时看房,安亭财富广场(南楼),1500,https://sh.58.com/zufang/44190608782211x.shtml
整租 | 一室一厅精装 全配看房有钥匙，,海伦堡爱ME城市,3000,https://sh.58.com/zufang/44645327865874x.shtml
单间 | 中星海兰苑 3室1厅1卫 主卧 朝南,中星海兰苑,1100,https://sh.58.com/hezu/44719862164123x.shtml
整租 | 曹杨八村 1室0厅1卫 1500元月 电梯房 25平,翔黄雅苑,1500,https://sh.58.com/zufang/44047440643615x.shtml
整租 | 整租一室户独立厨卫，房租月付，近地铁和万达，多套可选,金沙缘圆宝邸,2000,https://sh.58.com/zufang/44737570738836x.shtml
整租 | 11号线南翔站，中暨大厦旁，财富广场，精装全配 周边,嘉峰汇财富广场,4100,https://sh.58.com/zufang/44620803386643x.shtml
整租 | 翔和雅苑(一区) 2室1厅1卫,翔和雅苑(一区),4000,https://sh.58.com/zufang/44704781660835x.shtml
整租 | 绿地新江桥城，一房，一厅，一卫，56个平方，月租39,绿地新江桥城(东区),3900,https://sh.58.com/zufang/44040085550623x.shtml
整租 | 11号线地铁口 整租一室 免中介 押一付一 包网络包,安亭财富广场(北楼),1300,https://sh.58.com/zufang/44742670755349x.shtml
整租 | 照片实拍，近江桥万达地铁金运路，房租月付，拎包入住，,大宅风范城,2580,https://sh.58.com/zufang/44737765276839x.shtml
单间 | 翔和雅苑(三区) 2室1厅1卫 主卧 南,翔和雅苑(三区),700,https://sh.58.com/hezu/44621115889959x.shtml
整租 | 11号线地铁口 实图拍照 精装复式公寓 一室一厅 押,汇尊国际,1300,https://sh.58.com/zufang/44709828471938x.shtml
整租 | 11号地铁马陆站恒大御景湾 精装带地暖3室2厅,恒大御景湾,5800,https://sh.58.com/zufang/44677861065610x.shtml
整租 | 新出房源 繁华商圈 大两房精美装修 南北朝向 随时看,红梅小区(嘉定),2200,https://sh.58.com/zufang/44698359925767x.shtml
单间 | 天禧嘉苑(西区) 3室1厅1卫 次卧 南,天禧嘉苑(西区),1100,https://sh.58.com/hezu/44698247139074x.shtml
整租 | 一份天注定，九分靠缘分， 坐北朝南，阳光灿烂 等你来,龙湖天璞,2500,https://sh.58.com/zufang/44114951811231x.shtml
整租 | 地铁11号线安亭地铁站150米 精装修 家电齐全 拎,嘉亭菁苑,2400,https://sh.58.com/zufang/44543710793377x.shtml
整租 | 安亭地铁口，整租复式一房，紧靠，大润发汽车站，交通便,安亭财富广场(南楼),1500,https://sh.58.com/zufang/44643207558931x.shtml
单间 | 泰宸沙河茗苑 3室1厅1卫 主卧 南,泰宸沙河茗苑,2100,https://sh.58.com/hezu/44724103670814x.shtml
整租 | 嘉定宝龙广场旁 一房 新出 装修比较好 看房  有钥,光明D9空间,3000,https://sh.58.com/zufang/44116798418189x.shtml
整租 | 马路汽配城，胜辛南路嘉定万达附近，靠地铁站，独立一室,马陆汽配城,999,https://sh.58.com/zufang/44301105452829x.shtml
单间 | 魔方社区 2室1厅2卫 次卧 北,魔方社区,1400,https://sh.58.com/hezu/44715669464487x.shtml
单间 | 嘉定城区 南苑北十村，主卧950！房源真实，欢迎看房,南苑北十村,900,https://sh.58.com/hezu/44433382422537x.shtml
单间 | 精装大南卧 双人床 可短租 可办居住证 随时看 地铁,日月光伯爵天地城市华庭,1130,https://sh.58.com/hezu/44527280189080x.shtml
单间 | 用心服务 可短租3个月 无仲阶费 真实押一付一 民用,日月光伯爵天地城市华庭,990,https://sh.58.com/hezu/44687181055385x.shtml
整租 | 永翔佳苑(东区) 1室 1厅1卫,永翔佳苑(东区),1480,https://sh.58.com/zufang/44722024638853x.shtml
"整租 | 专为附近上班族量身打造,本地段性价比还不错的loft",金鹤新城中房公寓,2000,https://sh.58.com/zufang/43815888078099x.shtml
